username,manga_id,user_score
Corrout,112268,9
Corrout,125052,9
Corrout,28,0
Corrout,698,0
Corrout,158289,0
Corrout,153408,8
Corrout,119260,9
Corrout,78523,0
Corrout,156585,0
Corrout,119161,0
Corrout,123681,8
Corrout,105084,9
Corrout,125507,0
Corrout,173477,0
Corrout,4,0
Corrout,104,9
Corrout,174000,0
Corrout,90125,10
_Redo_,180314,5
_Redo_,114745,9
_Redo_,37523,0
_Redo_,100448,9
_Redo_,121553,8
_Redo_,115848,0
_Redo_,132874,6
_Redo_,121496,0
_Redo_,155218,0
_Redo_,136419,0
Kiwwang,178915,0
Kiwwang,141737,0
Kiwwang,158151,0
Kiwwang,132500,0
Kiwwang,167985,0
Kiwwang,111953,0
Kiwwang,158638,10
Kiwwang,172087,0
Kiwwang,156729,0
Kiwwang,121504,0
Kiwwang,131008,9
Kiwwang,161352,0
Kiwwang,150210,0
Kiwwang,166115,0
Kiwwang,143351,0
Kiwwang,145704,0
Kiwwang,134608,0
Kiwwang,113254,9
Kiwwang,154155,0
Kiwwang,149334,0
Kiwwang,123783,0
Kiwwang,113169,0
Kiwwang,147821,0
Kiwwang,96528,0
Kiwwang,127781,0
Kiwwang,150101,0
Kiwwang,150994,0
Kiwwang,130126,0
